"id","category_id","type","title","doing","learn","skill","skill_note","teacher","teacher_qualification","bring","charge","cost","book","note","start","end","link"
95,68,"test flight","film storytelling: watch and critique &quot;the dark knight rises&quot;","We will watch The Dark Knight Rises and then discuss the storytelling techniques used in the film.","Basics of Joseph Campbell's Hero's Journey<br>Overview of filmmaking storytelling techniques",1,"","Linc Gasking","Linc has had ten years in the entertainment/film industry in Hollywood.","","cost","Film ticket cost","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","This is a test flight, so please fasten your seat belt, make sure your seat backs and tray tables are in their full upright position!","","",""
97,69,"introduction","wine tasting","An introduction to wine tasting and the Wellington scene!","Elissa will cover the basics of wine tasting (See, Swirl, Smell, Sip, Savour) and will introduce at least two wines (Pinot Noir and Sauvignon Blanc as these are the top produced red and white varieties in New Zealand).<br><br>If time permits Elissa will speak briefly on the wine regions of New Zealand, the best wine bars and restaurants in Wellington and picking a wine off the shelf.",1,"","Elissa Jordan","Elissa blogs about wine at <a href='http://www.wineylittlebitch.com'>wineylittlebitch.com</a>","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
98,70,"please select..","mandarin chinese: the train station","Ever tried to learn a language in school? You probably spent years rote-learning ridiculous amounts of grammatical rules, and have nothing to show for it. <br><Br>That's not how we roll here at chalkle. <Br><Br>Each chalkle language lesson is built around a particular situation or location which we will go and visit in real life to do the lesson: the first one is the train station! You'll receive practical phrases right away which you can put into action immediately!","- Chinese Mandarin as it relates in real life to a train station <br>- Cultural intricacies of a train station in China",1,"","Lori Liang","Lori Liang is a Mandarin and Cantonese interpreter, who has been working for Interpreting New Zealand since 2009. Her work involves a lot of traveling and visiting places like hospitals, medical centres, district courts, and sometimes home visits. Working as an interpreter is fun and challenging; she needs to have a sharp sense of hearing for words, realising the cultural variations behind the words. A big part of her work is continuing learning, not just linguistic but a wide range of topics such as medical and even construction. <br><Br>Graduating in Bachelor of Science from Teacher’s College of Hubei University, Lori always has a passion in teaching and education. She was a private tutor for school students for a number of years before immigrating to New Zealand. Living and working in the coolest little capital is a new experience for Lori, and she is excited to meet lots of new friends particularly through Meet Up =)","","cost","$10","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
99,75,"introduction","vintage make-up: 1920s!","Vintage make-up going back to the twenties -- see what you would look like! This is a hands on course where you will help with make up and hairstyling.","",1,"","Nicole Heydenrijk","Nicole started her career as a special effects make-up artist in the Netherlands around 20 years ago. <br><br>Now Nicole works with her daughters at BodyFX in Wellington. <br><Br>She has a teacher's degree in Arts/Craft and is a special effects make-up artist, a specialist in foam latex applications and production, trauma, theatre make-up, body art and facepainting. <br><br>Nicole is the winner of numerous national and international make-up and body painting awards. <a href='http://www.bodyfx.co.nz/about/nicole/nicole.htm'>More about Nicole </a>","","cost","$30","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
100,70,"introduction","spanish/espanol: the train station","Ever tried to learn a language in school? You probably spent years rote-learning ridiculous amounts of grammatical rules, and have nothing to show for it.That's not how we roll here at chalkle. Each language chalkle is built around a particular situation or location which we will go and visit in real life to do the lesson: the first one is the train station! You'll receive practical phrases right away which you can put into action immediately!","- Spanish as it relates in real life to a train station<Br>- Cultural intricacies of a train station in Spain","please select..","","Leticia Murillo Esteban","Leticia has a love of languages and has worked as a freelance translator (french / english / spanish)  for over two years. She grew up in Spain and studied at the University of Saragossa.","","cost","$10","","","","",""
101,66,"zero to hero","installing and using linux","Key things you need to know to install and use linux!","",5,"You need to have a computer background","Geoff Palmer","","","please select..","","","","","",""
102,70,"introduction","mandarin chinese: the airport","Ever tried to learn a language in school? You probably spent years rote-learning ridiculous amounts of grammatical rules, and have nothing to show for it. <br><Br>That's not how we roll here at chalkle. <Br><Br>Each chalkle language lesson is built around a particular situation or location which we will go and visit in real life to do the lesson: this one is at the airport! You'll receive practical phrases right away which you can put into action immediately! <Br><Br>Complete beginners encouraged to come along!","- Mandarin Chinese as it relates in real life to an airport<Br>- Cultural intricacies of an airport in China",1,"","Lori Lian","Lori Liang is a Mandarin and Cantonese interpreter, who has been working for Interpreting New Zealand since 2009. Her work involves a lot of traveling and visiting places like hospitals, medical centres, district courts, and sometimes home visits. Working as an interpreter is fun and challenging; she needs to have a sharp sense of hearing for words, realising the cultural variations behind the words. A big part of her work is continuing learning, not just linguistic but a wide range of topics such as medical and even construction.<br><Br>Graduating in Bachelor of Science from Teacher’s College of Hubei University, Lori always has a passion in teaching and education. She was a private tutor for school students for a number of years before immigrating to New Zealand. Living and working in the coolest little capital is a new experience for Lori, and she is excited to meet lots of new friends particularly through Meet Up =)","","cost","$9 AUD","","",11,"12:30",""
103,71,"introduction","work out smarter, not harder","Learn how to maximize your results during and after your workouts.  A gym membership is not necessary to obtain great results!","",1,"","Debbie Lanz","Debbie Lanz is a Health and Wellness Professional specializing in personal training and nutrition.  She has assisted numerous clients of various orthopedic and fitness related backgrounds  to improve daily function and achieve their health and  fitness goals.","","cost","$10","","","","",""
104,69,"zero to hero","cooking fresh meals in 20 minutes","We all know we should eat healthy but not everyone knows how to eat healthy.  Learn simple, delicious recipes you can whip up in 20 minutes.","",1,"","Debbie Lanz","Debbie Lanz is a Health and Wellness Professional specializing in personal training and nutrition.  She has assisted numerous clients of various orthopedic and fitness related backgrounds  to improve daily function and achieve their health and  fitness goals.","","cost","$10 plus food costs","","","","",""
105,69,"introduction","eating for your metabolic type","Our bodies are as different as our personalities.  Learn how your body metabolizes the food you eat so you can look and feel your best.","",1,"","Debbie Lanz","Debbie Lanz is a Health and Wellness Professional specializing in personal training and nutrition.  She has assisted numerous clients of various orthopedic and fitness related backgrounds  to improve daily function and achieve their health and  fitness goals.  ","","cost","$10","","","","",""
106,69,"introduction","why we eat the way we do","Learn what affects your daily food choices, biological and environmental, and how you can form healthier habits. ","",1,"","Debbie Lanz","Debbie Lanz is a Health and Wellness Professional specializing in personal training and nutrition.  She has assisted numerous clients of various orthopedic and fitness related backgrounds  to improve daily function and achieve their health and  fitness goals. ","","cost","$10","","","","",""
107,78,"practice","test - title","dou","","please select..","","","","","please select..","","","","","",""
108,79,"introduction","activism 101","If you've ever signed an online petition, you are an active citizen. The world needs more people to exercise their democratic right and speak out to protect that we cherish and stand up for the rights and values that are important to us.  This course in modern grassroots activism helps you to get more engaged and make your actions more potent. ","",2,"","Megan Salole","","","donation","Donation to Action Station","","","","",""
109,79,"introduction","theory U","We will work our way over successive classes through the five stages of the U: Co-Initiating, Co-Sensing, Prescencing, Co-Creating, Co-Evolving.","The basics of the U process and how you can apply it in daily life and in any facilitation situations.",2,"Must have read relevant chapter","Silvia Zuur","Silvia has worked with the U in many situations over the last couple of years, including hosting workshops and study groups. But there is still a lot more to learn about it!","If possible the book","free","","","","","",""
110,70,"introduction","spanish/espanol: the airport","Ever tried to learn a language in school? You probably spent years rote-learning ridiculous amounts of grammatical rules, and have nothing to show for it.That's not how we roll here at chalkle. Each language chalkle is built around a particular situation or location which we will go and visit in real life to do the lesson: this one is the airport! You'll receive practical phrases right away which you can put into action immediately!","- Spanish as it relates in real life to an airport<Br>- Cultural intricacies of an airport in Spain",1,"","Leticia Murillo Esteban","Leticia has a love of languages and has worked as a freelance translator (french / english / spanish)  for over two years. She grew up in Spain and studied at the University of Saragossa.","","cost","$11","RSVP on Facebook and use Paypal:https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick","If you need a ride to the airport, leave a note on Facebook.","","",""
111,71,"test flight","successful midlife crisis: personality types","This is the first in a series: How to have a successful midlife crisis! 

Personality types are traditionally hard to make sense of because of the confusing letters and descriptions -- each person could fit into all the categories. This class takes a novel approach and explains personality to you in a fun and memorable format you can use in everyday life.","
In this class, you will
- undertake a personality test
- learn about personality types
- understand how to apply it to your life to understand yourself and those around you better",1,"","Linc Gasking","","","free","Cost: This is a test flight lesson -- yo","","","","",""
112,62,"introduction","make a ukulele","With a few bits of wood, some toothpicks and fishing line, you can make a fine sounding ukulele. Will take 2-3 two hour sessions.","",1,"","Brian Nels","High School Teacher of Graphics and technology. Former aviation mechanic and graphic designer. Incurable tinkerer.","","please select..","","","","","",""
113,70,"introduction","mandarin chinese: restaurant / yum cha!","","","please select..","","","","","please select..","","","","","",""
114,70,"next step","mandarin chinese: immersion","<Br><Br>This chalkle language lesson simulates a foreign environment -- you must complete a number of challenges, and the teacher will only communicate with you in Chinese!Thanks to Wiebe for the concept!","- polish your Mandarin skills- get used to solving problems in Mandarin",3,"You should have had at least a few classes in Mandarin","Lori Liang","Lori Liang is a Mandarin and Cantonese interpreter, who has been working for Interpreting New Zealand since 2009. Her work involves a lot of traveling and visiting places like hospitals, medical centres, district courts, and sometimes home visits. Working as an interpreter is fun and challenging; she needs to have a sharp sense of hearing for words, realising the cultural variations behind the words. A big part of her work is continuing learning, not just linguistic but a wide range of topics such as medical and even construction. <br><Br>Graduating in Bachelor of Science from Teacher’s College of Hubei University, Lori always has a passion in teaching and education. She was a private tutor for school students for a number of years before immigrating to New Zealand. Living and working in the coolest little capital is a new experience for Lori, and she is excited to meet lots of new friends particularly through Meet Up =)","","cost","$11","","","11am","12:30pm",""
115,70,"introduction","spanish/espanol: the supermarket","","- Spanish as it relates in real life to an supermarket<Br>- Cultural intricacies of a supermarket in Spain",1,"","Leticia Murillo Esteban","Leticia has a love of languages and has worked as a freelance translator (french / english / spanish)  for over two years. She grew up in Spain and studied at the University of Saragossa.","","cost","$11","","","","",""
116,69,"introduction","a first taste of spanish cuisine: tortilla de patata","Tortilla de Patata.It is the most famous dish in Spain (more than Paella) with a very easy recipe but difficult elaboration. ","Tow different types (normal one and with zucchini)
It is very hard to do good tortillas de patata but you are lucky, because it is Leticia&#039;s specialty! ",2,"","Leticia Murillo Esteban","","","cost",17,"","","","",""
117,62,"please select..","jewelry: paper beads","Learn how to make beautiful, light weight, eco friendly, handmade, recycled African paper beads!","",1,1,"Nicola","","","cost","$5","","","","",""
118,79,"introduction","behind the scenes: farmers market","eceive a unique opportunity to go behind the scenes of a farmer's market! This includes a fascinating talk about the philosophy behind farmers' market concept, local food, organics, free range, fair trade etc.  Understand what goes on behind running a market.  Introduction to stallholders and maybe a bit of a rave from them.","",1,"","Lynette Vigrass","Lynette Vigrass is the Market Manager of Hill Street Market","","free","","","","","",""
119,69,"zero to hero","making, flipping and eating crepes","we&#039;re making crepes and eating them!","a simple recipe, tips for success and getting air on your crepe flipping. You get to make your own batter which allows you to take the leftovers home to share the love.",1,"","John Irving","&quot;I&#039;ve been making crepes for more than a decade and it&#039;s still a favourite - really quick and easy while being delicious and flexible. To me it feels like one of those things which looks complicated or tricky but really isn&#039;t... if you&#039;ve not made them before you only really need to make them once to get a decent feel for it. Hopefully this evening can provide you with that opportunity.&quot;","your own non-stick pan, a topping of your choice (John will provide the lemons and sugar), and an empty 1L milk bottle or like to take your leftover batter home!","cost","$13 covers ingredients","","","","",""
120,62,"zero to hero","paper flowers","Learn how to make incredible paper flowers, plus you receive the laser-cut templates to take home with you!","",1,"","Gemma Crouch-Gatehouse","Corsetière Gemma is a Toi Whakaari (New Zealand School of Dance and Drama) costume design graduate, mentored by Kaarin Macaulay where she studied for two years learning period costuming and corsetry for theatre. She has been lauded for her costume <a href='http://www.stuff.co.nz/dominion-post/news/local-papers/the-wellingtonian/3714511/Kiwi-Space-Patrol-yet-to-lift-off'>designs</a> and won the Best Performance: Design at the NZ Fringe Festival in 2007.","","cost","$25 includes a copy of your own template","","","","",""
121,70,"introduction","practical body language","Let’s Get Physical! Olivia Newton-John wants to hear your body talk. But, do you know what you’re saying? Even when you say nothing, you’re transmitting volumes.Come along to this fantastic intro to body language which combines theory with practical people-watching!","- if someone fancies you or not- if someone is trying to dominate a situation- if someone is interested in what you are saying or doing- if someone is avoiding the 'truth'- if negotiations are coming to an end- what others might be thinking about youThis is a 90 minute intro course into body language that you can come away from with a greater awareness of what isn’t being said. Applying the skills learnt on this course will help with emotional awareness in yourself and in others.",1,"","Nicola Price","Nicola has a Master qualification in Neuro Linguistic Programming. She has training in management, marketing, massage, child psychology among other certificate level courses. She has worked for many years in the counselling field, being on a trauma relief team for Christchurch, part of an international study in trauma relief work, training telephone counsellors and in private practice.","","cost","$15","","","","",""
122,71,"introduction","hand and foot massage","Be the envy of the office with your ability to melt stress from tired typing hands. 
Score up as many brownies points as you can handle giving fabulous foot massage!","Come prepared to receive a hand or foot massage from another in the group learning to give a hand or foot massage
Half the class will be spent practising techniques and the other half spent being a hand or foot model for those learning.",1,"","Nicola Price","Nicola is formally trained in massage.","","cost","$10","","","","",""
123,79,"introduction","bike maintenance","","","please select..","","","","","please select..","","","","","",""
124,69,"introduction","a first taste of spanish cuisine: raciones","Discover the culture of raciones -- like tapas, but usually involves sitting down and ordering a selection all at once to make a meal of it and the raciones are a full plateful of food rather than a small snack.","Berenjenas rebozadas (eggplant coated in eggs and flour)Revuelto de setas y gambas (sautéed mushrooms, prawns and eggs) Sepia a la plancha con alioli (grilled squid with parsley and garlic sauce)",1,"","Leticia Murillo Esteban","Leticia has a love of Spanish cuisine which she inherited from her family and she loves sharing family recipes! Leticia has worked as a freelance translator (french / english / spanish)  for over two years. She grew up in Spain and studied at the University of Saragossa.","","cost","$18 (includes $7 food)","","","","",""
125,66,"master class","ruby on rails","Turn your programming into poetry.","",7,"You need to already know how to use Ruby on Rails.","Y. Thong Kuah","","","cost","$30","","","","",""
126,66,"introduction","github","Learn the basics of Github.","You will learn how to use GitHub,  a web-based hosting service for software development projects that use the Git revision control system.",3,"You need to have a computer background","Y. Thong Kuah","","","cost",15,"","","","",""
127,70,"introduction","an introduction to genealogy and family heritage research","","","please select..","","","","","please select..","","","","","",""
128,74,"zero to hero","laser cutting class","","","please select..","","","","","please select..","","","","","",""
129,65,"introduction","how to import things to sell","Have you noticed a gaping hole in the local NZ market for a product already available overseas? Surely the product would sell here, if only you knew how to bring them over and navigate all the red tape! Well this class is for you... and it's free!","",1,"","Ivan McNicholl","Ivan is the Wellington Regional Secretary of the Importers Institute, a director of Customs Agents Wellington Limited (est 1978) and Honorary Consul of Portugal (Wellington).","","free","","","","","",""
130,70,"introduction","spanish/espanol: el restaurante"," Each language chalkle is built around a particular situation or location which we will go and visit in real life to do the lesson: this one is a restaurant! You'll receive practical phrases right away which you can put into action immediately! This week we will go to a Mexican restaurant in Thorndon. We will have dinner together while learning Spanish! The waiters confirmed than they will assist you and answer to the student's questions. You can visit the restaurant online at http://mexicanfusion.co.nz/ for their menu and prices.","",1,"","Leticia Murillo Esteban","","","cost","$11   your food","","","","",""
131,79,"tips + tricks","warm up my home!","It's the middle of the winter, southerlies blowing every other day, rain falling steadily. Wellington homes can be hard to keep warm. After putting an extra layer of clothes and having nice hot cups of teas, what else can you do? Learn about cheap and easy ways to create a warm, dry and healthy home!","","please select..","","Renee Rushton and Willemijn Vermaat","Renee Rushton and Willemijn Vermaat work at the Sustainability Trust. Renee is  a home advisor, and Willemijn is the coordinator of the Warm Fuzzies programme to help lower income families to stay warm and healthy in their homes. They have a passion for finding sustainable and practical solutions in and outside the home, and in the community. Both are big supporters of Wellington Timebank.","Questions and issues you have keeping your home warm and dry. If you can, have a look in the ceiling or underfloor to see if there is any insulation.","please select..","","","","","",""
132,69,"introduction","a first taste of spanish cuisine: paprika and garlic","Leticia brings us more deliciousness from Spain! This week: Paprika and garlic...&quot;good friends in Spain!&quot; Leticia says, &quot;In Spain we very often use chopped garlic and paprika fried in oil, to season vegetables.&quot;","You&#039;ll learn how to make two dishes: Acelgas con jam&oacute;n y cebolla y sofrito de ajo y piment&oacute;n (silverbeet with ham and onions accompanied of fried garlic and paprika sauce)
Coliflor con patatas y sofrito de ajo y piment&oacute;n a la plancha con alioli (cauliflower and potatoes accompanied of fried garlic and paprika sauce).

",1,"Beginners welcome","Leticia Murillo Esteban","","","cost","$18 (includes $7 food)","Paypal","","","",""
133,70,"introduction","spanish/espanol: shopping","- Spanish as it relates in real life to an supermarket&lt;Br&gt;- Cultural intricacies of a supermarket in Spain","","please select..","","Leticia Murillo Esteban","Leticia has a love of languages and has worked as a freelance translator (french / english / spanish)  for over two years. She grew up in Spain and studied at the University of Saragossa.","","please select..","$11","","","","",""
134,70,"introduction","mandarin chinese: dinner guests","Making dumplings","",1,"Beginners welcome","Lori Liang","Lori Liang is a Mandarin and Cantonese interpreter, who has been working for Interpreting New Zealand since 2009. Her work involves a lot of traveling and visiting places like hospitals, medical centres, district courts, and sometimes home visits. Working as an interpreter is fun and challenging; she needs to have a sharp sense of hearing for words, realising the cultural variations behind the words. A big part of her work is continuing learning, not just linguistic but a wide range of topics such as medical and even construction.&lt;br&gt;&lt;Br&gt;Graduating in Bachelor of Science from Teacher's College of Hubei University, Lori always has a passion in teaching and education. She was a private tutor for school students for a number of years before immigrating to New Zealand. Living and working in the coolest little capital is a new experience for Lori, and she is excited to meet lots of new friends particularly through Meet Up =)","","cost",11,"","","","",""
135,70,"introduction","mandarin chinese: dumplings","Making dumplings","",1,"Beginners welcome","Lori Liang","Lori Liang is a Mandarin and Cantonese interpreter, who has been working for Interpreting New Zealand since 2009. Her work involves a lot of traveling and visiting places like hospitals, medical centres, district courts, and sometimes home visits. Working as an interpreter is fun and challenging; she needs to have a sharp sense of hearing for words, realising the cultural variations behind the words. A big part of her work is continuing learning, not just linguistic but a wide range of topics such as medical and even construction.&lt;br&gt;&lt;Br&gt;Graduating in Bachelor of Science from Teacher's College of Hubei University, Lori always has a passion in teaching and education. She was a private tutor for school students for a number of years before immigrating to New Zealand. Living and working in the coolest little capital is a new experience for Lori, and she is excited to meet lots of new friends particularly through Meet Up =)","","cost",11,"","","","",""
136,62,"introduction","sewing for knitwits - make tights and singlet for baby","","","please select..","","Gemma Crouch-Gatehouse","Gemma is a Toi Whakaari (New Zealand School of Dance and Drama) costume design graduate, mentored by Kaarin Macaulay where she studied for two years learning period costuming and corsetry for theatre. She has been lauded for her costume &lt;a href=&quot;http://www.stuff.co.nz/dominion-post/news/local-papers/the-wellingtonian/3714511/Kiwi-Space-Patrol-yet-to-lift-off&quot;&gt;designs&lt;/a&gt; and won the Best Performance: Design at the NZ Fringe Festival in 2007.","","please select..","","","","","",""
137,62,"next step","sewing - make an heirloom dress","","","please select..","","","","","please select..","","","","","",""
138,80,"introduction","ghetto greenhouse - how to make your small meal cheque last longer","","","please select..","","","","","please select..","","","","","",""
139,80,"tips + tricks","spring planting and vegetable gardening","","","please select..","","","","","please select..","","","","","",""
140,80,"introduction","permaculture","","","please select..","","","","","please select..","","","","","",""
141,80,"introduction","composting and worm farming","","","please select..","","","","","please select..","","","","","",""
142,72,"introduction","improvised comedy","People will learn to improvise scenes and tell stories in a supportive and fun group environment - if you've seen Theatre Sports or the old TV show Who's Line, it'll be a bit like that, but not quite.   The skills of improv are just as useful if you need to speak seriously in public, or work creatively and collaboratively with other people.","You'll get a brief taste of the Joy of Improv - work through some of the improv games and exercises that develop important life skills like creativity, spontaneity, teamwork, listening, perception, trust, generosity and openness.",1,"","Ali Little","Ali Little discovered improv eight years ago, and it still makes her giggle.   She is one of two Creative Directors for the Wellington Improvisation Troupe, a community based theatre organisation which performs and teaches the skills of improv at venues around Wellington.","Comfortable clothes you can move around in","free","","","","","",""
143,80,"master class","intro to bonsai trees","Here's a once in a lifetime opportunity to meet and learn from one of the world's legendary bonsai masters, Keith Lowe.","",1,"Beginners welcome!","Keith Lowe","","","free","","","","","",""
144,65,"introduction","media workshop - how to make the news","Ever wondered why some things make the news and some don&#039;t? What makes
a good story? Join a group for an evening of discussion, activities,
and information on media strategy and ideas. Learn what constitutes a
successful press release, and have a go at writing your own. Whether
you&#039;ve already got a project you&#039;d like to advertise, or are thinking
about one, or are just interested in Communications, this workshop
could be beneficial to you.","","please select..","","","","","please select..","","","","","",""
145,69,"introduction","friday fiesta! (aka thank god it&#039;s viernes)","","","please select..","","","","","please select..","","","","","",""
146,80,"master class","world of weeds (controlling and eating!)","&quot;We will explore the wonderful world of weeds, and what better place than my garden!

In the first part of the class, we will hunt through my garden identifying weeds, especially the tasty edible ones, and learn which vegetables can usefully be left to go feral. I will share my experience on how to control weeds with a range of techniques suitable for all types of gardens and situations.

For the second part, we will have a practical weeding session. We will clear a badly overgrown garden bed which is seriously in need of weeding, using it to understand the strategies that different weeds use - and how to outsmart them. There&#039;s no charge for this class, but you will be providing a bit of practical assistance with my garden.

There&#039;s so much more to weeds than just pulling out plants in the wrong place.&quot;","","please select..","","","","","please select..","","","","","",""
147,69,"introduction","food ","","","please select..","","","","","please select..","","","","","",""
148,72,"introduction","ceroc dancing","","What ceroc is, and few basic moves, enough to get up and dance through a song by the end of the class",1,"","Snaiet ","","","please select..","","","","","",""
149,69,"introduction","cheesemaking","Learn how to make three simple cheeses.......really yummy ricotta, fabulous feta, creamy cream cheese..","","please select..","","","","","please select..","","","","","",""
150,71,"introduction","how to meditate in four easy steps","","","please select..","","","","","please select..","","","","","",""
151,69,"introduction","spanish cuisine - the fish king (a hundred ways of cooking fish)","","","please select..","","","","","please select..","","","","","",""
152,70,"introduction","spanish - grammar class","","","please select..","","","","","please select..","","","","","",""
153,70,"introduction","mandarin chinese: recap","","","please select..","","","","","please select..","","","","","",""
154,69,"introduction","baking - muffins and scones","","",1,"","","","","please select..","","","","","",""
155,65,"introduction","packaging design - how it makes you buy","","","please select..","","","","","please select..","","","","","",""
156,69,"introduction","chocolate desserts","","","please select..","","","","","please select..","","","","","",""
157,72,"introduction","SFX: scars, tattoos and pirate make-up","","","please select..","","","","","please select..","","","","","",""
158,79,"next step","bike maintenance - mountain bikes (level 2)","","","please select..","","","","","please select..","","","","","",""
159,80,"zero to hero","turn lawn into a vege garden","","","please select..","","","","","please select..","","","","","",""
160,71,"introduction","acupuncture","","","please select..","","","","","please select..","","","","","",""
161,62,"master class","kite making","","","please select..","","","","","please select..","","","","","",""
162,69,"master class","paella","","","please select..","","","","","please select..","","","","","",""
163,69,"introduction","beer tasting and home brewing","","","please select..","","","","","please select..","","","","","",""
164,70,"please select..","sign language: dinner and a movie","","","please select..","","","","","please select..","","","","","",""
165,69,"please select..","how to make pizza","","","please select..","","","","","please select..","","","","","",""
166,69,"please select..","how to make dumplings","","","please select..","","","","","please select..","","","","","",""
